club_name,club_link
Liverpool,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats
Manchester City,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats
Manchester Utd,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats
Middlesbrough,https://fbref.com/en/squads/7f59c601/2016-2017/Middlesbrough-Stats
Southampton,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats
Stoke City,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats
Sunderland,https://fbref.com/en/squads/8ef52968/2016-2017/Sunderland-Stats
Swansea City,https://fbref.com/en/squads/fb10988f/2016-2017/Swansea-City-Stats
Tottenham,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats
Watford,https://fbref.com/en/squads/2abfe087/2016-2017/Watford-Stats
West Brom,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats
West Ham,https://fbref.com/en/squads/7c21e445/2016-2017/West-Ham-United-Stats
Arsenal,https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats
Bournemouth,https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats
Brighton,https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats
Burnley,https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats
Chelsea,https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
Crystal Palace,https://fbref.com/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats
Everton,https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats
Huddersfield,https://fbref.com/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats
Leicester City,https://fbref.com/en/squads/a2d435b3/2017-2018/Leicester-City-Stats
Liverpool,https://fbref.com/en/squads/822bd0ba/2017-2018/Liverpool-Stats
Manchester City,https://fbref.com/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
Manchester Utd,https://fbref.com/en/squads/19538871/2017-2018/Manchester-United-Stats
Newcastle Utd,https://fbref.com/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats
Southampton,https://fbref.com/en/squads/33c895d4/2017-2018/Southampton-Stats
Stoke City,https://fbref.com/en/squads/17892952/2017-2018/Stoke-City-Stats
Swansea City,https://fbref.com/en/squads/fb10988f/2017-2018/Swansea-City-Stats
Tottenham,https://fbref.com/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
Watford,https://fbref.com/en/squads/2abfe087/2017-2018/Watford-Stats
West Brom,https://fbref.com/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats
West Ham,https://fbref.com/en/squads/7c21e445/2017-2018/West-Ham-United-Stats
Arsenal,https://fbref.com/en/squads/18bb7c10/2018-2019/Arsenal-Stats
Bournemouth,https://fbref.com/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
Brighton,https://fbref.com/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
Burnley,https://fbref.com/en/squads/943e8050/2018-2019/Burnley-Stats
Cardiff City,https://fbref.com/en/squads/75fae011/2018-2019/Cardiff-City-Stats
Chelsea,https://fbref.com/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
Crystal Palace,https://fbref.com/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
Everton,https://fbref.com/en/squads/d3fd31cc/2018-2019/Everton-Stats
Fulham,https://fbref.com/en/squads/fd962109/2018-2019/Fulham-Stats
Huddersfield,https://fbref.com/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
Leicester City,https://fbref.com/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
Liverpool,https://fbref.com/en/squads/822bd0ba/2018-2019/Liverpool-Stats
Manchester City,https://fbref.com/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
Manchester Utd,https://fbref.com/en/squads/19538871/2018-2019/Manchester-United-Stats
